value,years,place,lat,lon
589,3,Central Michigan University,43.591137,-84.775275
590,3,Concordia University-Ann Arbor,42.274723,-83.682676
591,3,Davenport University,42.849713,-85.529655
592,3,University of Detroit Mercy,42.417168,-83.138369
593,3,Eastern Michigan University,42.245751,-83.624499
594,3,Ferris State University,43.687464,-85.483509
595,3,Kettering University,43.013112,-83.714356
596,3,Grace Bible College,42.919541,-85.692077
597,3,Cornerstone University,42.979044,-85.595602
598,3,Grand Valley State University,42.965208,-85.887519
599,3,Hope College,42.788052,-86.105376
600,3,Kalamazoo College,42.290382,-85.601317
601,3,Lake Superior State University,46.491736,-84.3655
602,3,Lawrence Technological University,42.474072,-83.25003
603,3,Madonna University,42.386463,-83.407306
604,3,Marygrove College,42.414415,-83.154109
605,3,Rochester College,42.667521,-83.144959
606,3,University of Michigan-Ann Arbor,42.276172,-83.74313
607,3,Michigan State University,42.72476,-84.473639
608,3,Michigan Technological University,47.1183,-88.546403
609,3,University of Michigan-Dearborn,42.317287,-83.231417
610,3,University of Michigan-Flint,43.018777,-83.688474
611,3,Baker College of Muskegon,43.244133,-86.196717
612,3,Northern Michigan University,46.558037,-87.403857
613,3,Oakland University,42.672586,-83.218866
614,3,Olivet College,42.440908,-84.922864
615,3,Kuyper College,43.02195,-85.592657
616,3,Saginaw Valley State University,43.55187,-83.96434
617,3,Siena Heights University,41.905952,-84.015144
618,3,Spring Arbor University,42.206233,-84.551918
619,3,Finlandia University,47.12709,-88.589392
620,3,Wayne State University,42.35861,-83.072864
621,3,Western Michigan University,42.282589,-85.61512
622,3,Augsburg College,44.965636,-93.241418
623,3,Bemidji State University,47.482505,-94.874529
624,3,Bethany Lutheran College,44.166485,-93.990744
625,3,Bethel University,45.057091,-93.159295
626,3,Carleton College,44.462304,-93.154662
627,3,Concordia College at Moorhead,46.859423,-96.765567
628,3,Concordia University-Saint Paul,44.951231,-93.154369
629,3,Martin Luther College,44.3046,-94.473422
630,3,Gustavus Adolphus College,44.324968,-93.971928
631,3,Hamline University,44.965696,-93.163983
632,3,Macalester College,44.936709,-93.169855
633,3,Minnesota State University-Mankato,44.147253,-93.998494
634,3,Metropolitan State University,44.957017,-93.074153
635,3,University of Minnesota-Twin Cities,44.977886,-93.235352
636,3,University of Minnesota-Crookston,47.802021,-96.609863
637,3,University of Minnesota-Duluth,46.818896,-92.085177
638,3,University of Minnesota-Morris,45.589829,-95.901756
639,3,Minnesota State University-Moorhead,46.866482,-96.763376
640,3,North Central University,44.969389,-93.261429
641,3,University of Northwestern-St Paul,45.032969,-93.171579
642,3,College of Saint Benedict,45.558609,-94.31902
643,3,Saint Cloud State University,45.552418,-94.153
644,3,Saint Johns University,45.580538,-94.39268
645,3,Saint Mary's University of Minnesota,44.045322,-91.696652
646,3,St Olaf College,44.462884,-93.183633
647,3,Crown College,44.885372,-93.743015
648,3,The College of Saint Scholastica,46.81544,-92.105738
649,3,University of St Thomas,44.941662,-93.189422
650,3,St Catherine University,44.924542,-93.181925
651,3,Southwest Minnesota State University,44.455023,-95.75983
652,3,Winona State University,44.046572,-91.64447
653,3,Alcorn State University,31.877216,-91.142854
654,3,Belhaven University,32.318415,-90.169228
655,3,Blue Mountain College,34.67209,-89.02924
656,3,Delta State University,33.743896,-90.734378
657,3,Jackson State University,32.296781,-90.20663
658,3,Millsaps College,32.3231,-90.178084
659,3,University of Mississippi,34.362144,-89.539377
660,3,Mississippi University for Women,33.493305,-88.418601
661,3,Mississippi Valley State University,33.514142,-90.341274
662,3,Mississippi College,32.334565,-90.330452
663,3,Mississippi State University,33.455241,-88.78834
664,3,Rust College,34.776862,-89.446999
665,3,University of Southern Mississippi,31.327499,-89.33791
666,3,Tougaloo College,32.402719,-90.159405
667,3,William Carey University,31.305264,-89.291815
668,3,Avila University,38.912159,-94.591387
669,3,Central Methodist University-College of Liberal Arts and Sciences,39.150534,-92.685276
670,3,University of Central Missouri,38.755882,-93.737445
671,3,Columbia College,38.957899,-92.326544
672,3,Culver-Stockton College,40.130064,-91.526682
673,3,Drury University,37.219757,-93.285773
674,3,Evangel University,37.220956,-93.262614
675,3,Fontbonne University,38.642697,-90.315712
676,3,Hannibal-LaGrange University,39.730785,-91.391423
677,3,Harris-Stowe State University,38.631744,-90.224288
678,3,Lincoln University,38.564409,-92.168509
679,3,Lindenwood University,38.788203,-90.502825
680,3,Maryville University of Saint Louis,38.645474,-90.505096
681,3,Missouri Baptist University,38.642017,-90.462606
682,3,Missouri Southern State University,37.095722,-94.460893
683,3,Missouri Valley College,39.108655,-93.190236
684,3,Missouri Western State University,39.7575,-94.785643
685,3,University of Missouri-Columbia,38.941015,-92.326429
686,3,University of Missouri-Kansas City,39.035366,-94.578039
687,3,Missouri University of Science and Technology,37.955853,-91.7759
688,3,University of Missouri-St Louis,38.711297,-90.308886
689,3,Truman State University,40.188238,-92.580531
690,3,Northwest Missouri State University,40.352706,-94.884341
691,3,College of the Ozarks,36.616019,-93.238174
692,3,Park University,39.189477,-94.677086
693,3,Rockhurst University,39.030843,-94.571249
694,3,Saint Louis University,38.636516,-90.23343
695,3,Southwest Baptist University,37.601603,-93.410451
696,3,Stephens College,38.950631,-92.322997
697,3,Southeast Missouri State University,37.31575,-89.529119
698,3,Missouri State University-Springfield,37.197983,-93.276821
699,3,Washington University in St Louis,38.648125,-90.311639
700,3,Webster University,38.589269,-90.345654
701,3,Westminster College,38.847764,-91.954345
702,3,William Jewell College,39.247848,-94.41207
703,3,William Woods University,38.857864,-91.949273
704,3,Carroll College,46.602202,-112.04053
705,3,Montana State University-Billings,45.796896,-108.523009
706,3,University of Great Falls,47.490279,-111.270167
707,3,Montana Tech of the University of Montana,46.012164,-112.557
708,3,Montana State University,45.666829,-111.049918
709,3,The University of Montana,46.861074,-113.98294
710,3,Montana State University-Northern,48.541054,-109.686457
711,3,Rocky Mountain College,45.796765,-108.553899
712,3,The University of Montana-Western,45.208306,-112.639264
713,3,Bellevue University,41.150225,-95.91764
714,3,Chadron State College,42.820672,-103.002793
715,3,Concordia University-Nebraska,40.914853,-97.089054
716,3,Creighton University,41.265325,-95.947029
717,3,Doane College-Crete,40.623107,-96.949656
718,3,Grace University,41.244723,-95.92789
719,3,Hastings College,40.590448,-98.373641
720,3,University of Nebraska at Kearney,40.700787,-99.098237
721,3,Midland University,41.43675,-96.488354
722,3,University of Nebraska at Omaha,41.257746,-96.010797
723,3,Nebraska Wesleyan University,40.838789,-96.648414
724,3,University of Nebraska-Lincoln,40.822272,-96.702177
725,3,Peru State College,40.474689,-95.732731
726,3,College of Saint Mary,41.240879,-96.020209
727,3,Union College,40.774778,-96.651095
728,3,Wayne State College,42.241612,-97.014241
729,3,York College,40.867453,-97.579285
730,3,University of Nevada-Las Vegas,36.106994,-115.141153
731,3,University of Nevada-Reno,39.549352,-119.821651
732,3,Great Basin College,40.84242,-115.76733
733,3,Sierra Nevada College,39.24586,-119.939523
734,3,Colby-Sawyer College,43.411663,-71.975805
735,3,Dartmouth College,43.70408,-72.289951
736,3,Franklin Pierce University,42.782305,-72.057875
737,3,New England College,43.177005,-71.822928
738,3,Southern New Hampshire University,43.039892,-71.453938
739,3,University of New Hampshire-Main Campus,43.134235,-70.934512
740,3,Keene State College,42.925999,-72.281433
741,3,University of New Hampshire at Manchester,42.990331,-71.468764
742,3,Plymouth State University,43.757386,-71.691164
743,3,Rivier University,42.738343,-71.455466
744,3,Saint Anselm College,42.985066,-71.508177
745,3,Granite State College,43.1929,-71.527241
746,3,Thomas More College of Liberal Arts,42.807701,-71.48364
747,3,Bloomfield College,40.794218,-74.19593
748,3,Caldwell College,40.834285,-74.273697
749,3,Centenary College,40.848693,-74.832775
750,3,Drew University,40.757026,-74.425825
751,3,Fairleigh Dickinson University-Metropolitan Campus,40.896162,-74.030023
752,3,Felician College,40.867272,-74.096452
753,3,Fairleigh Dickinson University-College at Florham,40.777364,-74.435359
754,3,Georgian Court University,40.098706,-74.22622
755,3,Rowan University,39.709768,-75.117974
756,3,New Jersey City University,40.709937,-74.08727
757,3,Kean University,40.679429,-74.234668
758,3,Monmouth University,40.280066,-74.006447
759,3,Montclair State University,40.859233,-74.199455
760,3,New Jersey Institute of Technology,40.741997,-74.177113
761,3,Princeton University,40.348496,-74.663708
762,3,Ramapo College of New Jersey,41.007523,-74.116384
763,3,Rider University,40.283122,-74.742822
764,3,Rutgers University-Camden,39.948628,-75.125303
765,3,Rutgers University-New Brunswick,40.503796,-74.45051
766,3,Rutgers University-Newark,40.741303,-74.175294
767,3,Saint Peter's University,40.727105,-74.071541
768,3,Seton Hall University,40.742859,-74.248753
769,3,College of Saint Elizabeth,40.781061,-74.436039
770,3,Stevens Institute of Technology,40.744776,-74.025334
771,3,The Richard Stockton College of New Jersey,39.492036,-74.531087
772,3,Thomas Edison State College,40.22011,-74.769652
773,3,The College of New Jersey,40.268742,-74.777412
774,3,William Paterson University of New Jersey,40.946256,-74.199465
775,3,Eastern New Mexico University-Main Campus,34.17826,-103.347294
776,3,New Mexico Highlands University,35.598982,-105.222824
777,3,New Mexico Institute of Mining and Technology,34.066035,-106.907491
778,3,University of New Mexico-Main Campus,35.083868,-106.620155
779,3,New Mexico State University-Main Campus,32.282875,-106.747841
780,3,Northern New Mexico College,36.004073,-106.084395
781,3,University of the Southwest,32.775496,-103.186948
782,3,Western New Mexico University,32.776962,-108.284768
783,3,Vaughn College of Aeronautics and Technology,40.768348,-73.881721
784,3,Adelphi University,40.721439,-73.653321
785,3,Alfred University,42.255866,-77.788625
786,3,Bard College,42.021803,-73.906243
787,3,Barnard College,40.809137,-73.964027
788,3,Boricua College,40.833434,-73.9458
789,3,Canisius College,42.925319,-78.851794
790,3,Cazenovia College,42.931946,-75.854054
791,3,Clarkson University,44.663761,-74.999947
792,3,Colgate University,42.8188,-75.535
793,3,Metropolitan College of New York,40.723516,-74.007056
794,3,Columbia University in the City of New York,40.808286,-73.961885
795,3,Concordia College-New York,40.94253,-73.82212
796,3,Cooper Union for the Advancement of Science and Art,40.72938,-73.990516
797,3,Cornell University,42.445291,-76.48269
798,3,CUNY Bernard M Baruch College,40.740238,-73.983417
799,3,CUNY Brooklyn College,40.631912,-73.95312
800,3,College of Staten Island CUNY,40.603949,-74.148701
801,3,CUNY City College,40.819794,-73.95055
802,3,CUNY Graduate School and University Center,40.748503,-73.983575
803,3,CUNY Hunter College,40.768669,-73.964795
804,3,CUNY John Jay College of Criminal Justice,40.770675,-73.988381
805,3,CUNY Lehman College,40.873928,-73.894627
806,3,CUNY Medgar Evers College,40.666256,-73.957076
807,3,CUNY New York City College of Technology,40.695483,-73.987856
808,3,CUNY Queens College,40.737771,-73.815387
809,3,CUNY York College,40.702661,-73.794586
810,3,D'Youville College,42.902263,-78.890369
811,3,Daemen College,42.965024,-78.789025
812,3,Dominican College of Blauvelt,41.054111,-73.95234
813,3,Dowling College,40.746051,-73.164816
814,3,Elmira College,42.092724,-76.811333
815,3,Fashion Institute of Technology,40.74731,-73.994781
816,3,Fordham University,40.861183,-73.889578
817,3,Hamilton College,43.047809,-75.408853
818,3,Hartwick College,42.454023,-75.073609
819,3,Hilbert College,42.75505,-78.82029
820,3,Hobart William Smith Colleges,42.858562,-76.984813
821,3,Hofstra University,40.715959,-73.60078
822,3,Houghton College,42.426841,-78.156882
823,3,Iona College,40.927107,-73.785635
824,3,Ithaca College,42.42264,-76.495057
825,3,Keuka College,42.61541,-77.090518
826,3,Le Moyne College,43.047316,-76.088449
827,3,LIU Brooklyn,40.690134,-73.980872
828,3,LIU Post,40.820043,-73.593279
829,3,LIU Brentwood,40.803845,-73.287113
830,3,Manhattan College,40.889756,-73.901893
831,3,Manhattanville College,41.031054,-73.718316
832,3,Marist College,41.721955,-73.934342
833,3,Marymount Manhattan College,40.769108,-73.959676
834,3,Medaille College,42.92895,-78.856569
835,3,Mercy College,41.021436,-73.874571
836,3,Molloy College,40.68597,-73.626278
837,3,Mount Saint Mary College,41.511212,-74.012906
838,3,College of Mount Saint Vincent,40.912814,-73.907019
839,3,Nazareth College,43.102406,-77.514417
840,3,The College of New Rochelle,40.899427,-73.781104
841,3,The New School,40.735275,-73.994636
842,3,New York University,40.729452,-73.997264
843,3,Niagara University,43.132713,-79.046229
844,3,New York Institute of Technology,40.814402,-73.608885
845,3,Nyack College,41.086425,-73.931106
846,3,Pace University-New York,40.711014,-74.004719
847,3,Paul Smiths College of Arts and Science,44.437366,-74.253006
848,3,Polytechnic Institute of New York University,40.694371,-73.986774
849,3,Rensselaer Polytechnic Institute,42.728983,-73.678768
850,3,Roberts Wesleyan College,43.126747,-77.798964
851,3,Rochester Institute of Technology,43.090325,-77.67521
852,3,University of Rochester,43.126437,-77.631042
853,3,The Sage Colleges,42.72821,-73.693711
854,3,St Bonaventure University,42.07863,-78.47586
855,3,St Francis College,40.693076,-73.991653
856,3,St Lawrence University,44.589879,-75.161343
857,3,The College of Saint Rose,42.664664,-73.78611
858,3,St Thomas Aquinas College,41.041126,-73.934182
859,3,Sarah Lawrence College,40.934147,-73.84381
860,3,Siena College,42.718586,-73.75153
861,3,Skidmore College,43.092696,-73.785108
862,3,Saint Joseph's College-New York,40.690485,-73.968037
863,3,Saint John Fisher College,43.117064,-77.516979
864,3,St John's University-New York,40.721979,-73.795301
865,3,SUNY College of Technology at Alfred,42.258745,-77.791057
866,3,SUNY College of Technology at Canton,44.607346,-75.185005
867,3,SUNY College of Technology at Delhi,42.270129,-74.924225
868,3,SUNY College of Agriculture and Technology at Cobleskill,42.661622,-74.504897
869,3,Farmingdale State College,40.75408,-73.426371
870,3,Morrisville State College,42.891392,-75.604369
871,3,SUNY at Albany,42.686917,-73.825014
872,3,SUNY at Binghamton,42.088049,-75.971143
873,3,University at Buffalo,43.001433,-78.790103
874,3,Stony Brook University,40.913138,-73.123595
875,3,SUNY College of Environmental Science and Forestry,43.034355,-76.139236
876,3,SUNY Institute of Technology at Utica-Rome,43.13528,-75.2292
877,3,SUNY College at Brockport,43.209862,-77.949824
878,3,Buffalo State SUNY,42.934199,-78.88067
879,3,SUNY College at Cortland,42.590158,-76.197909
880,3,SUNY at Fredonia,42.450961,-79.336109
881,3,SUNY College at Geneseo,42.796864,-77.821999
882,3,State University of New York at New Paltz,41.737205,-74.088727
883,3,SUNY Oneonta,42.466555,-75.064186
884,3,SUNY College at Oswego,43.453047,-76.543885
885,3,SUNY College at Potsdam,44.662862,-74.976889
886,3,SUNY at Purchase College,41.047092,-73.700127
887,3,SUNY College at Old Westbury,40.789842,-73.570966
888,3,SUNY College at Plattsburgh,44.691103,-73.467342
889,3,SUNY Empire State College,43.078304,-73.779915
890,3,SUNY Maritime College,40.809048,-73.800336
891,3,Syracuse University,43.040525,-76.136738
892,3,Teachers College at Columbia University,40.810311,-73.960399
893,3,Touro College,40.742172,-73.989932
894,3,Excelsior College,42.704887,-73.862204
895,3,Union College,42.817578,-73.928498
896,3,United States Merchant Marine Academy,40.812154,-73.762534
897,3,Utica College,43.095183,-75.272407
898,3,Vassar College,41.685105,-73.894345
899,3,Wagner College,40.615003,-74.09573
900,3,Wells College,42.744314,-76.696512
901,3,Yeshiva University,40.8508,-73.928541
902,3,Appalachian State University,36.214844,-81.680234
903,3,Barton College,35.735463,-77.913805
904,3,Belmont Abbey College,35.261276,-81.041847
905,3,Bennett College,36.067531,-79.77998
906,3,Brevard College,35.237657,-82.729763
907,3,Campbell University,35.409333,-78.739508
908,3,Catawba College,35.692445,-80.486575
909,3,Chowan University,36.436258,-77.099141
910,3,Davidson College,35.500006,-80.845236
911,3,Duke University,36.00159,-78.94226
912,3,East Carolina University,35.606347,-77.366199
913,3,Elizabeth City State University,36.273539,-76.210063
914,3,Elon University,36.104149,-79.505632
915,3,Fayetteville State University,35.072485,-78.894709
916,3,Gardner-Webb University,35.24732,-81.668141
917,3,Greensboro College,36.071082,-79.800232
918,3,Guilford College,36.092563,-79.888848
919,3,High Point University,35.972674,-79.994545
920,3,Johnson C Smith University,35.243384,-80.854842
921,3,Lees-McRae College,36.16362,-81.870998
922,3,Lenoir-Rhyne University,35.73904,-81.326161
923,3,Livingstone College,35.670743,-80.484459
924,3,Mars Hill University,35.825858,-82.550859
925,3,Meredith College,35.797197,-78.689175
926,3,Methodist University,35.137854,-78.875024
927,3,Montreat College,35.645844,-82.297522
928,3,Mount Olive College,35.206314,-78.071265
929,3,North Carolina A & T State University,36.076737,-79.770152
930,3,University of North Carolina at Asheville,35.616618,-82.565259
931,3,University of North Carolina at Chapel Hill,35.912165,-79.050969
932,3,University of North Carolina at Charlotte,35.306834,-80.73579
933,3,University of North Carolina at Greensboro,36.067503,-79.809844
934,3,North Carolina Central University,35.974237,-78.898602
935,3,North Carolina State University at Raleigh,35.785111,-78.674517
936,3,North Carolina Wesleyan College,36.017443,-77.774231
937,3,University of North Carolina Wilmington,34.225223,-77.875527
938,3,William Peace University,35.789105,-78.636793
939,3,University of North Carolina at Pembroke,34.687231,-79.201895
940,3,Pfeiffer University,35.484696,-80.283168
941,3,Queens University of Charlotte,35.188929,-80.832227
942,3,Mid-Atlantic Christian University,36.303765,-76.217496
943,3,Saint Augustine's University,35.785032,-78.621806
944,3,Salem College,36.087531,-80.241357
945,3,Shaw University,35.771181,-78.637693
946,3,St Andrews University,34.746283,-79.478385
947,3,Wake Forest University,36.135301,-80.279004
948,3,Warren Wilson College,35.611762,-82.441097
949,3,Wingate University,34.979384,-80.444465
950,3,Winston-Salem State University,36.089197,-80.224905
951,3,Western Carolina University,35.28149,-83.125447
952,3,Dickinson State University,46.882677,-102.800511
953,3,University of Jamestown,46.915402,-98.697209
954,3,University of Mary,46.724893,-100.752386
955,3,Mayville State University,47.504671,-97.322545
956,3,Minot State University,48.246877,-101.300624
957,3,University of North Dakota,47.921881,-97.070823
958,3,North Dakota State University-Main Campus,46.894523,-96.805689
959,3,Valley City State University,46.919144,-98.001762
960,3,University of Akron Main Campus,41.077768,-81.510328
961,3,Ashland University,40.860987,-82.320621
962,3,Baldwin Wallace University,41.373938,-81.849112
963,3,Bluffton University,40.896998,-83.897678
964,3,Bowling Green State University-Main Campus,41.377036,-83.637531
965,3,Capital University,39.954875,-82.937867
966,3,Case Western Reserve University,41.500812,-81.605769
967,3,Cedarville University,39.750338,-83.812098
968,3,Central State University,39.716465,-83.876795
969,3,University of Cincinnati-Main Campus,39.131159,-84.51428
970,3,Ohio Christian University,39.610895,-82.905986
971,3,Cleveland State University,41.502918,-81.673052
972,3,University of Dayton,39.73686,-84.173662
973,3,Defiance College,41.300336,-84.356596
974,3,Denison University,40.072582,-82.520625
975,3,The University of Findlay,41.05441,-83.652067
976,3,Heidelberg University,41.114337,-83.166581
977,3,Hiram College,41.310998,-81.141552
978,3,John Carroll University,41.488978,-81.533103
979,3,Kent State University at Salem,40.86408,-80.835458
980,3,Kent State University at Kent,41.146856,-81.342253
981,3,Kenyon College,40.374408,-82.397977
982,3,Lake Erie College,41.717841,-81.251817
983,3,Lourdes University,41.708694,-83.706649
984,3,Malone University,40.826516,-81.383525
985,3,Marietta College,39.417638,-81.450038
986,3,Miami University-Oxford,39.509642,-84.731821
987,3,University of Mount Union,40.905093,-81.108624
988,3,Mount Vernon Nazarene University,40.373859,-82.474667
989,3,College of Mount St Joseph,39.094519,-84.640143
990,3,Muskingum University,39.996635,-81.737192
991,3,Notre Dame College,41.506938,-81.516212
992,3,Oberlin College,41.29474,-82.221786
993,3,Ohio Dominican University,39.99265,-82.940499
994,3,Ohio Northern University,40.766144,-83.830729
995,3,Ohio State University-Lima Campus,40.737828,-84.026195
996,3,Ohio State University-Mansfield Campus,40.797259,-82.578673
997,3,Ohio State University-Marion Campus,40.579444,-83.085889
998,3,Ohio State University-Newark Campus,40.068353,-82.447992
999,3,Ohio State University-Main Campus,39.998389,-83.009001
1000,3,Ohio University-Main Campus,39.326799,-82.101064
1001,3,Ohio Wesleyan University,40.296912,-83.067912
1002,3,Otterbein University,40.12534,-82.936231
1003,3,University of Rio Grande,38.88058,-82.377359
1004,3,Shawnee State University,38.730909,-82.995357
1005,3,Franciscan University of Steubenville,40.376086,-80.623094
1006,3,Tiffin University,41.119193,-83.18355
1007,3,University of Toledo,41.65795,-83.615225
1008,3,Union Institute & University,39.126856,-84.500139
1009,3,Urbana University,40.099881,-83.760035
1010,3,Ursuline College,41.494971,-81.466716
1011,3,Walsh University,40.873295,-81.36911
1012,3,Wilberforce University,39.707993,-83.879358
1013,3,Wilmington College,39.441097,-83.817271
1014,3,Wittenberg University,39.937463,-83.814082
1015,3,The College of Wooster,40.81046,-81.934674
1016,3,Wright State University-Main Campus,39.780634,-84.064881
1017,3,Xavier University,39.149291,-84.477648
1018,3,Youngstown State University,41.105583,-80.646515
1019,3,Bacone College,35.77707,-95.335337
1020,3,Oklahoma Wesleyan University,36.717752,-95.954124
1021,3,Southern Nazarene University,35.513295,-97.629504
1022,3,Cameron University,34.606487,-98.434163
1023,3,University of Central Oklahoma,35.658239,-97.470985
1024,3,East Central University,34.773805,-96.664196
1025,3,Langston University,35.943953,-97.260263
1026,3,Northeastern State University,35.920499,-94.968528
1027,3,Northwestern Oklahoma State University,36.796313,-98.667596
1028,3,Oklahoma Christian University,35.609042,-97.468312
1029,3,Oklahoma Panhandle State University,36.594518,-101.638488
1030,3,Oklahoma State University-Main Campus,36.123085,-97.069743
1031,3,Oklahoma Baptist University,35.359949,-96.934334
1032,3,Oklahoma City University,35.495271,-97.541242
1033,3,University of Oklahoma-Norman Campus,35.208152,-97.445692
1034,3,Oral Roberts University,36.050705,-95.954215
1035,3,Rogers State University,36.319609,-95.635739
1036,3,Saint Gregory's University,35.367401,-96.954186
1037,3,University of Science and Arts of Oklahoma,35.031392,-97.95641
1038,3,Southeastern Oklahoma State University,34.00361,-96.376381
1039,3,Southwestern Christian University,35.513596,-97.639411
1040,3,Southwestern Oklahoma State University,35.534609,-98.707964
1041,3,University of Tulsa,36.151887,-95.945175
1042,3,Concordia University-Portland,45.568242,-122.637944
1043,3,Eastern Oregon University,45.320392,-118.09384
1044,3,George Fox University,45.30399,-122.968394
1045,3,Lewis & Clark College,45.450547,-122.672478
1046,3,Linfield College-McMinnville Campus,45.201333,-123.200464
1047,3,Marylhurst University,45.398174,-122.647755
1048,3,Northwest Christian University,44.047483,-123.079754
1049,3,Oregon Institute of Technology,42.257152,-121.785177
1050,3,Oregon State University,44.56274,-123.274721
1051,3,University of Oregon,44.044515,-123.07398
1052,3,Pacific University,45.521394,-123.108777
1053,3,Portland State University,45.511229,-122.683553
1054,3,University of Portland,45.571807,-122.726859
1055,3,Reed College,45.480376,-122.63064
1056,3,Southern Oregon University,42.186467,-122.694034
1057,3,Warner Pacific College,45.50349,-122.562241
1058,3,Corban University,44.88408,-122.958413
1059,3,Willamette University,44.935743,-123.030727
1060,3,Western Oregon University,44.851866,-123.238785
1061,3,Bryn Athyn College of the New Church,40.131358,-75.06093
1062,3,Albright College,40.360248,-75.910152
1063,3,Allegheny College,41.648068,-80.146922
1064,3,DeSales University,40.540137,-75.376549
1065,3,Alvernia University,40.3102,-75.938163
1066,3,Arcadia University,40.091941,-75.165205
1067,3,Bloomsburg University of Pennsylvania,41.007989,-76.446383
1068,3,Bryn Mawr College,40.028541,-75.314988
1069,3,Bucknell University,40.954489,-76.886275
1070,3,Cabrini College,40.054565,-75.37215
1071,3,California University of Pennsylvania,40.066473,-79.884477
1072,3,Carlow University,40.439851,-79.963927
1073,3,Carnegie Mellon University,40.444616,-79.942914
1074,3,Cedar Crest College,40.586695,-75.519799
1075,3,Chatham University,40.448432,-79.926083
1076,3,Chestnut Hill College,40.087048,-75.228847
1077,3,Cheyney University of Pennsylvania,39.932293,-75.529378
1078,3,Clarion University of Pennsylvania,41.209676,-79.374775
1079,3,Delaware Valley College,40.29757,-75.158202
1080,3,Dickinson College,40.202796,-77.197854
1081,3,Drexel University,39.954855,-75.188745
1082,3,Duquesne University,40.437496,-79.993046
1083,3,East Stroudsburg University of Pennsylvania,40.99622,-75.172614
1084,3,Eastern University,40.052306,-75.370268
1085,3,Edinboro University of Pennsylvania,41.869978,-80.126363
1086,3,Elizabethtown College,40.150372,-76.594175
1087,3,Franklin and Marshall College,40.048045,-76.319037
1088,3,Gannon University,42.126111,-80.086258
1089,3,Geneva College,40.773474,-80.352545
1090,3,Gettysburg College,39.836091,-77.234982
1091,3,Gratz College,40.065782,-75.133025
1092,3,Gwynedd Mercy University,40.197566,-75.238052
1093,3,Haverford College,40.013368,-75.302562
1094,3,Holy Family University,40.060414,-74.990365
1095,3,Immaculata University,40.027963,-75.57063
1096,3,Indiana University of Pennsylvania-Main Campus,40.615589,-79.159869
1097,3,Juniata College,40.499511,-78.015204
1098,3,Keystone College,41.558969,-75.777456
1099,3,King's College,41.248118,-75.878603
1100,3,Kutztown University of Pennsylvania,40.513705,-75.785426
1101,3,La Roche College,40.569777,-80.011977
1102,3,La Salle University,40.038503,-75.152996
1103,3,Lafayette College,40.700512,-75.209058
1104,3,Lebanon Valley College,40.331733,-76.513753
1105,3,Lehigh University,40.607158,-75.378887
1106,3,Lincoln University of Pennsylvania,39.807725,-75.928273
1107,3,Lock Haven University,41.142097,-77.463565
1108,3,Lycoming College,41.246127,-77.0003
1109,3,Mansfield University of Pennsylvania,41.79971,-77.07299
1110,3,Marywood University,41.434978,-75.633996
1111,3,Mercyhurst University,42.103991,-80.055568
1112,3,Messiah College,40.15867,-76.988492
1113,3,Millersville University of Pennsylvania,39.99813,-76.355091
1114,3,Misericordia University,41.344765,-75.971016
1115,3,Moravian College,40.630888,-75.380979
1116,3,Mount Aloysius College,40.459948,-78.601358
1117,3,Muhlenberg College,40.597362,-75.508954
1118,3,Neumann University,39.874944,-75.437928
1119,3,Pennsylvania State University-Penn State Erie-Behrend College,42.120271,-79.986362
1120,3,Pennsylvania State University-Penn State Great Valley,40.052845,-75.521311
1121,3,Pennsylvania State University-Penn State New Kensington,40.55382,-79.703269
1122,3,Pennsylvania State University-Penn State Shenango,41.234852,-80.508204
1123,3,Pennsylvania State University-Penn State Wilkes-Barre,41.306529,-76.017242
1124,3,Pennsylvania State University-Penn State Worthington Scranton,41.440258,-75.620583
1125,3,Pennsylvania State University-Penn State Lehigh Valley,40.557651,-75.401798
1126,3,Pennsylvania State University-Penn State Altoona,40.540682,-78.409112
1127,3,Pennsylvania State University-Penn State Beaver,40.678254,-80.296235
1128,3,Pennsylvania State University-Penn State Berks,40.357987,-75.972141
1129,3,Pennsylvania State University-Penn State Harrisburg,40.205234,-76.741961
1130,3,Pennsylvania State University-Penn State Brandywine,39.928355,-75.447825
1131,3,Pennsylvania State University-Penn State Dubois,41.126941,-78.751784
1132,3,Pennsylvania State University-Penn State Fayette- Eberly,39.948498,-79.654944
1133,3,Pennsylvania State University-Penn State Hazleton,40.984157,-76.031567
1134,3,Pennsylvania State University-Main Campus,40.800732,-77.861644
1135,3,Pennsylvania State University-Penn State Greater Allegheny,40.344474,-79.827262
1136,3,Pennsylvania State University-Penn State Mont Alto,39.841914,-77.544068
1137,3,Pennsylvania State University-Penn State Abington,40.116995,-75.110661
1138,3,Pennsylvania State University-Penn State Schuylkill,40.642583,-76.166371
1139,3,Pennsylvania State University-Penn State York,39.952327,-76.702835
1140,3,Peirce College,39.945483,-75.166332
1141,3,University of Pennsylvania,39.951002,-75.193618
1142,3,Philadelphia University,40.022281,-75.194249
1143,3,Cairn University-Langhorne,40.165809,-74.909509
1144,3,University of Pittsburgh-Bradford,41.944173,-78.673039
1145,3,University of Pittsburgh-Greensburg,40.292824,-79.535757
1146,3,University of Pittsburgh-Johnstown,40.268583,-78.832611
1147,3,University of Pittsburgh-Pittsburgh Campus,40.444502,-79.954692
1148,3,Point Park University,40.438526,-80.001462
1149,3,Robert Morris University,40.521088,-80.211785
