value,years,place,lat,lon
132,3,Santa Clara University,37.352706,-121.938189
133,3,Scripps College,34.103655,-117.711336
134,3,Simpson University,40.61331,-122.333048
135,3,Saint Mary's College of California,37.83997,-122.106795
136,3,Sonoma State University,38.341023,-122.673261
137,3,Vanguard University of Southern California,33.662686,-117.900911
138,3,University of Southern California,34.021058,-118.283858
139,3,Thomas Aquinas College,34.429009,-119.087141
140,3,Westmont College,34.449265,-119.661932
141,3,Whittier College,33.977625,-118.028402
142,3,Woodbury University,34.209226,-118.340692
143,3,Adams State University,37.477238,-105.880943
144,3,University of Colorado Denver,39.74603,-104.999181
145,3,University of Colorado Colorado Springs,38.892735,-104.800296
146,3,University of Colorado Boulder,40.004415,-105.267061
147,3,Colorado Christian University,39.711701,-105.094836
148,3,Colorado College,38.84657,-104.82422
149,3,Colorado School of Mines,39.75079,-105.227148
150,3,Colorado State University-Fort Collins,40.574759,-105.08083
151,3,College America-Denver,39.691571,-104.94118
152,3,University of Denver,39.695954,-104.964625
153,3,Fort Lewis College,37.275428,-107.867003
154,3,Colorado Mesa University,39.076354,-108.540281
155,3,Metropolitan State University of Denver,39.742248,-105.002391
156,3,Naropa University,40.014816,-105.267073
157,3,University of Northern Colorado,40.403178,-104.701721
158,3,Regis University,39.78976,-105.031385
159,3,Colorado State University-Pueblo,38.309219,-104.579846
160,3,Western State Colorado University,38.547421,-106.91971
161,3,Albertus Magnus College,41.332519,-72.923848
162,3,University of Bridgeport,41.165587,-73.189352
163,3,Central Connecticut State University,41.690258,-72.770094
164,3,Charter Oak State College,41.688246,-72.767972
165,3,Connecticut College,41.379833,-72.107321
166,3,University of Connecticut,41.808205,-72.249519
167,3,Eastern Connecticut State University,41.721673,-72.218753
168,3,Fairfield University,41.160732,-73.25778
169,3,Rensselaer Hartford Graduate Center Inc,41.773462,-72.673916
170,3,University of Hartford,41.796485,-72.714965
171,3,Mitchell College,41.328075,-72.095337
172,3,University of New Haven,41.291314,-72.961472
173,3,Quinnipiac University,41.419527,-72.895542
174,3,Sacred Heart University,41.221548,-73.24461
175,3,University of Saint Joseph,41.783028,-72.730489
176,3,Southern Connecticut State University,41.331852,-72.948806
177,3,Trinity College,41.746746,-72.688684
178,3,Wesleyan University,41.55678,-72.656755
179,3,Western Connecticut State University,41.400365,-73.444264
180,3,Yale University,41.311158,-72.926688
181,3,Delaware State University,39.187173,-75.54053
182,3,University of Delaware,39.679791,-75.7536
183,3,Wesley College,39.16325,-75.527377
184,3,Wilmington University,39.682299,-75.586998
185,3,American University,38.937802,-77.090106
186,3,Catholic University of America,38.935796,-76.998961
187,3,University of the District of Columbia,38.943819,-77.066247
188,3,Gallaudet University,38.907371,-76.993675
189,3,George Washington University,38.89865,-77.047871
190,3,Georgetown University,38.908809,-77.073463
191,3,Howard University,38.920739,-77.019478
192,3,Trinity Washington University,38.927398,-77.004261
193,3,Barry University,25.878865,-80.196136
194,3,Bethune-Cookman University,29.210193,-81.031429
195,3,Lynn University,26.382777,-80.123851
196,3,Carlos Albizu University-Miami,25.795162,-80.355002
197,3,University of Central Florida,28.60106,-81.198805
198,3,Clearwater Christian College,27.963556,-82.697305
199,3,Eckerd College,27.718996,-82.685992
200,3,Edward Waters College,30.34513,-81.684817
201,3,Embry-Riddle Aeronautical University-Daytona Beach,29.189244,-81.0495
202,3,Florida Agricultural and Mechanical University,30.428599,-84.285664
203,3,Florida Atlantic University,26.372536,-80.102293
204,3,Flagler College-St Augustine,29.89335,-81.315256
205,3,Florida College,28.034911,-82.383446
206,3,Florida Institute of Technology,28.064503,-80.624628
207,3,Florida International University,25.757111,-80.377591
208,3,Florida Memorial University,25.917854,-80.270672
209,3,Florida Southern College,28.031507,-81.945791
210,3,Florida State University,30.4421,-84.294801
211,3,University of Florida,29.638248,-82.361195
212,3,Jacksonville University,30.350349,-81.60706
213,3,Jones College-Jacksonville,30.328002,-81.610068
214,3,Keiser University-Ft Lauderdale,26.185869,-80.163959
215,3,Trinity International University-Florida,26.099656,-80.257156
216,3,University of Miami,25.720406,-80.27645
